

 8176 atoms
17 atom types
-49 72.0363 xlo xhi
0 24.2487 ylo yhi
-4.55 50.05 zlo zhi

Masses

1  12.01070 # CpB
2  12.01070 # CC1
3  12.01070 # CC2
4  12.01070 # CE
5  12.01070 # CH
6  12.01070 # CW
7  15.99940 # OC1
8  15.99940 # OC2
9  15.99940 # OE
10  15.99940 # OH
11  15.99940 # OW
12  15.99940 # OD
13  1.00794 # HC
14  1.00794 # HH
15  1.00794 # HW
16  2.01410 # HD
17  12.01070 # CpE
Atoms # charge
288 14 0.000000 3.292302 10.911920  1.662545
289 10 0.000000 8.400000 10.911920  1.350000
290 14 0.000000 7.492302 10.911920  1.662545
291 10 0.000000 2.100000 4.849742  -1.350000
292 14 0.000000 1.192302 4.849742  -1.662545
293 10 0.000000 16.800000 8.487049  -1.350000
294 14 0.000000 15.892302 8.487049  -1.662545
295 10 0.000000 16.800000 13.336791  -1.350000
296 14 0.000000 15.892302 13.336791  -1.662545
297 10 0.000000 6.300000 4.849742  -1.350000
298 14 0.000000 5.392302 4.849742  -1.662545
299 10 0.000000 4.200000 20.611405  1.350000
300 14 0.000000 3.292302 20.611405  1.662545
301 10 0.000000 6.300000 2.424871  1.350000
302 14 0.000000 5.392302 2.424871  1.662545
303 10 0.000000 18.900000 7.274613  -1.350000
304 14 0.000000 17.992302 7.274613  -1.662545
305 10 0.000000 15.400000 10.911920  1.350000
306 14 0.000000 14.492302 10.911920  1.662545
307 10 0.000000 11.200000 13.336791  1.350000
308 14 0.000000 10.292302 13.336791  1.662545
309 10 0.000000 4.900000 14.549227  1.350000
310 14 0.000000 3.992302 14.549227  1.662545
311 10 0.000000 15.400000 20.611405  1.350000
312 14 0.000000 14.492302 20.611405  1.662545
313 10 0.000000 7.000000 13.336791  1.350000
314 14 0.000000 6.092302 13.336791  1.662545
315 10 0.000000 21.000000 8.487049  -1.350000
316 14 0.000000 20.092302 8.487049  -1.662545
317 10 0.000000 12.600000 8.487049  -1.350000
318 14 0.000000 11.692302 8.487049  -1.662545
319 10 0.000000 14.700000 4.849742  1.350000
320 14 0.000000 13.792302 4.849742  1.662545
321 10 0.000000 21.700000 12.124356  1.350000
