# Exponential Bond potential for OH 			
OHbond			
N	1600	EQ	1.7623
363	4.082	1.0033601541E-08	6.9054380874E-08
364	4.093	9.3020441526E-09	6.4019574347E-08
365	4.104	8.6238251602E-09	5.9351859327E-08
366	4.115	7.9950556215E-09	5.5024470898E-08
367	4.126	7.4121301399E-09	5.1012595595E-08
368	4.137	6.8717061909E-09	4.7293229119E-08
369	4.148	6.3706849560E-09	4.3845044432E-08
370	4.159	5.9061935539E-09	4.0648269469E-08
371	4.170	5.4755685670E-09	3.7684573758E-08
372	4.181	5.0763407699E-09	3.4936963316E-08
373	4.192	4.7062209698E-09	3.2389683206E-08
374	4.203	4.3630868810E-09	3.0028127192E-08
375	4.214	4.0449709552E-09	2.7838753993E-08
376	4.225	3.7500490993E-09	2.5809009630E-08
377	4.236	3.4766302163E-09	2.3927255446E-08
378	4.247	3.2231465085E-09	2.2182701366E-08
379	4.258	2.9881444873E-09	2.0565344028E-08
380	4.269	2.7702766391E-09	1.9065909423E-08
381	4.280	2.5682936986E-09	1.7675799715E-08
382	4.291	2.3810374853E-09	1.6387043945E-08
383	4.302	2.2074342624E-09	1.5192252322E-08
384	4.313	2.0464885803E-09	1.4084573849E-08
385	4.324	1.8972775682E-09	1.3057657042E-08
386	4.335	1.7589456425E-09	1.2105613506E-08
387	4.346	1.6306996009E-09	1.1222984177E-08
388	4.357	1.5118040741E-09	1.0404708011E-08
389	4.368	1.4015773090E-09	9.6460929729E-09
390	4.379	1.2993872597E-09	8.9427891239E-09
391	4.390	1.2046479633E-09	8.2907636842E-09
392	4.401	1.1168161798E-09	7.6862779067E-09
393	4.412	1.0353882774E-09	7.1258656391E-09
394	4.423	9.5989734412E-10	6.6063134488E-09
395	4.434	8.8991051124E-10	6.1246421971E-09
396	4.445	8.2502647067E-10	5.6780899564E-09
397	4.456	7.6487317399E-10	5.2640961734E-09
398	4.467	7.0910569914E-10	4.8802869865E-09
399	4.478	6.5740427257E-10	4.5244616144E-09
400	4.489	6.0947243565E-10	4.1945797361E-09
401	4.500	5.6503534479E-10	3.8887497921E-09
402	4.511	5.2383819545E-10	3.6052181380E-09
403	4.522	4.8564476105E-10	3.3423589887E-09
404	4.533	4.5023603851E-10	3.0986650964E-09
405	4.544	4.1740899239E-10	2.8727391080E-09
406	4.555	3.8697539075E-10	2.6632855523E-09
407	4.566	3.5876072575E-10	2.4691034119E-09
408	4.577	3.3260321306E-10	2.2890792365E-09
409	4.588	3.0835286418E-10	2.1221807583E-09
410	4.599	2.8587062636E-10	1.9674509729E-09
411	4.610	2.6502758531E-10	1.8240026518E-09
412	4.621	2.4570422596E-10	1.6910132551E-09
413	4.632	2.2778974718E-10	1.5677202146E-09
414	4.643	2.1118142644E-10	1.4534165619E-09
415	4.654	1.9578403079E-10	1.3474468740E-09
416	4.665	1.8150927076E-10	1.2492035152E-09
417	4.676	1.6827529415E-10	1.1581231531E-09
418	4.687	1.5600621667E-10	1.0736835283E-09
419	4.698	1.4463168680E-10	9.9540045972E-10
420	4.709	1.3408648240E-10	9.2282506815E-10
421	4.720	1.2431013674E-10	8.5554120263E-10
422	4.731	1.1524659175E-10	7.9316305403E-10
423	4.742	1.0684387660E-10	7.3533294288E-10
424	4.753	9.9053809693E-11	6.8171926836E-10
425	4.764	9.1831722387E-11	6.3201460693E-10
426	4.775	8.5136202864E-11	5.8593394951E-10
427	4.786	7.8928858675E-11	5.4321306727E-10
428	4.797	7.3174096590E-11	5.0360699649E-10
429	4.808	6.7838918511E-11	4.6688863394E-10
430	4.819	6.2892732253E-11	4.3284743464E-10
431	4.830	5.8307176133E-11	4.0128820463E-10
432	4.841	5.4055956337E-11	3.7202998167E-10
433	4.852	5.0114696154E-11	3.4490499762E-10
434	4.863	4.6460796197E-11	3.1975771643E-10
435	4.874	4.3073304818E-11	2.9644394231E-10
436	4.885	3.9932797966E-11	2.7482999289E-10
437	4.896	3.7021267817E-11	2.5479193267E-10
438	4.907	3.4322019508E-11	2.3621486241E-10
439	4.918	3.1819575410E-11	2.1899226022E-10
440	4.929	2.9499586382E-11	2.0302537083E-10
441	4.940	2.7348749488E-11	1.8822263929E-10
442	4.951	2.5354731720E-11	1.7449918596E-10
443	4.962	2.3506099278E-11	1.6177631988E-10
444	4.973	2.1792252009E-11	1.4998108747E-10
445	4.984	2.0203362626E-11	1.3904585427E-10
446	4.995	1.8730320355E-11	1.2890791710E-10
447	5.006	1.7364678697E-11	1.1950914451E-10
448	5.017	1.6098606993E-11	1.1079564345E-10
449	5.028	1.4924845524E-11	1.0271745027E-10
450	5.039	1.3836663880E-11	9.5228244187E-11
451	5.050	1.2827822374E-11	8.8285081721E-11
452	5.061	1.1892536256E-11	8.1848150421E-11
453	5.072	1.1025442548E-11	7.5880540593E-11
454	5.083	1.0221569291E-11	7.0348033658E-11
455	5.094	9.4763070331E-12	6.5218905940E-11
456	5.105	8.7853824038E-12	6.0463746757E-11
457	5.116	8.1448336058E-12	5.6055289785E-11
458	5.127	7.5509876994E-12	5.1968256706E-11
459	5.138	7.0004395419E-12	4.8179212264E-11
460	5.149	6.4900322622E-12	4.4666429884E-11
461	5.160	6.0168391587E-12	4.1409767094E-11
462	5.171	5.5781469181E-12	3.8390550021E-11
463	5.182	5.1714400567E-12	3.5591466323E-11
464	5.193	4.7943864966E-12	3.2996465909E-11
465	5.204	4.4448241933E-12	3.0590668915E-11
466	5.215	4.1207487389E-12	2.8360280378E-11
467	5.226	3.8203018682E-12	2.6292511137E-11
468	5.237	3.5417608033E-12	2.4375504496E-11
469	5.248	3.2835283757E-12	2.2598268243E-11
470	5.259	3.0441238674E-12	2.0950611613E-11
471	5.270	2.8221745208E-12	1.9423086860E-11
472	5.281	2.6164076669E-12	1.8006935079E-11
473	5.292	2.4256434282E-12	1.6694035982E-11
474	5.303	2.2487879527E-12	1.5476861340E-11
475	5.314	2.0848271421E-12	1.4348431811E-11
476	5.325	1.9328208368E-12	1.3302276922E-11
477	5.336	1.7918974248E-12	1.2332397969E-11
478	5.347	1.6612488442E-12	1.1433233614E-11
479	5.358	1.5401259492E-12	1.0599628005E-11
480	5.369	1.4278342150E-12	9.8268012043E-12
481	5.380	1.3237297551E-12	9.1103217830E-12
482	5.391	1.2272156292E-12	8.4460814119E-12
483	5.402	1.1377384203E-12	7.8302713028E-12
484	5.413	1.0547850616E-12	7.2593603691E-12
485	5.424	9.7787989434E-13	6.7300749783E-12
486	5.435	9.0658194029E-13	6.2393801809E-12
487	5.446	8.4048237336E-13	5.7844623081E-12
488	5.457	7.7920217527E-13	5.3627128374E-12
489	5.468	7.2238996222E-13	4.9717134358E-12
490	5.479	6.6971997010E-13	4.6092220929E-12
491	5.490	6.2089018647E-13	4.2731602647E-12
492	5.501	5.7562061886E-13	3.9616009557E-12
493	5.512	5.3365168927E-13	3.6727576688E-12
494	5.523	4.9474274571E-13	3.4049741618E-12
495	5.534	4.5867068230E-13	3.1567149505E-12
496	5.545	4.2522866000E-13	2.9265565038E-12
497	5.556	3.9422492055E-13	2.7131790815E-12
498	5.567	3.6548168691E-13	2.5153591666E-12
499	5.578	3.3883414392E-13	2.3319624496E-12
500	5.589	3.1412949322E-13	2.1619373243E-12
501	5.600	2.9122607706E-13	2.0043088579E-12
502	5.611	2.6999256609E-13	1.8581732009E-12
503	5.622	2.5030720628E-13	1.7226924038E-12
504	5.633	2.3205712077E-13	1.5970896130E-12
505	5.644	2.1513766263E-13	1.4806446155E-12
506	5.655	1.9945181484E-13	1.3726897098E-12
507	5.666	1.8490963393E-13	1.2726058770E-12
508	5.677	1.7142773430E-13	1.1798192312E-12
509	5.688	1.5892881005E-13	1.0937977292E-12
510	5.699	1.4734119171E-13	1.0140481191E-12
511	5.710	1.3659843529E-13	9.4011311279E-13
512	5.721	1.2663894127E-13	8.7156876301E-13
513	5.732	1.1740560140E-13	8.0802203301E-13
514	5.743	1.0884547124E-13	7.4910854259E-13
515	5.754	1.0090946657E-13	6.9449047880E-13
516	5.765	9.3552081934E-14	6.4385465887E-13
517	5.776	8.6731129710E-14	5.9691073441E-13
518	5.787	8.0407498213E-14	5.5338952658E-13
519	5.798	7.4544927414E-14	5.1304148255E-13
520	5.809	6.9109801035E-14	4.7563524456E-13
521	5.820	6.4070953782E-14	4.4095632335E-13
522	5.831	5.9399492650E-14	4.0880586820E-13
523	5.842	5.5068631240E-14	3.7899952677E-13
524	5.853	5.1053536173E-14	3.5136638798E-13
525	5.864	4.7331184689E-14	3.2574800199E-13
526	5.875	4.3880232633E-14	3.0199747167E-13
527	5.886	4.0680892072E-14	2.7997861027E-13
528	5.897	3.7714817822E-14	2.5956516051E-13
529	5.908	3.4965002263E-14	2.4064007064E-13
530	5.919	3.2415677812E-14	2.2309482321E-13
531	5.930	3.0052226513E-14	2.0682881289E-13
532	5.941	2.7861096214E-14	1.9174876954E-13
